time,px_est,py_est,pz_est,vx_est,vy_est,vz_est,qw_est,qx_est,qy_est,qz_est,pbarx_est,pbary_est,bgx_est,bgy_est,bgz_est,bax_est,bay_est,baz_est,bmx_est,bmy_est,bmz_est,px_true,py_true,pz_true,vx_true,vy_true,vz_true,qw_true,qx_true,qy_true,qz_true,pbarx_true,pbary_true,bgx_true,bgy_true,bgz_true,bax_true,bay_true,baz_true,bmx_true,bmy_true,bmz_true,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19
1.025641,-49.216852,-9.201898,-24.845305,0.315225,0.467372,-0.352844,0.999712,0.018195,0.007424,0.013754,0.192995,0.509645,0.000754,-0.002046,-0.000751,-0.000650,-0.001308,0.001840,0.000000,0.000000,0.000000,-49.946378,-9.996296,-25.004550,0.155043,0.010955,-0.013311,0.999988,0.001293,0.002585,0.003878,0.193897,0.505830,0.005002,-0.002993,0.002001,0.020170,-0.009961,0.015497,0.000000,0.000000,0.000000,0.002404,0.002502,0.002525,9.281176,9.231209,9.198818,0.464736,0.382198,0.201052,0.000057,0.000056,0.000025,0.000023,0.000024,0.002500,0.002499,0.002499,1.000000,1.000000,1.000000
1.076923,-49.239111,-9.230752,-24.813308,0.294459,0.416859,-0.306460,0.999722,0.017057,0.008031,0.014169,0.192941,0.508829,0.000635,-0.001772,-0.000602,-0.000516,-0.001031,0.001471,0.000000,0.000000,0.000000,-49.938034,-9.995705,-25.005267,0.170499,0.012116,-0.014681,0.999986,0.001422,0.002843,0.004265,0.193298,0.506450,0.004999,-0.002995,0.002003,0.020153,-0.010026,0.015427,0.000000,0.000000,0.000000,0.002376,0.002499,0.002527,9.311437,9.247612,9.212526,0.484032,0.385288,0.195217,0.000057,0.000055,0.000025,0.000023,0.000023,0.002500,0.002498,0.002498,1.000000,1.000000,1.000000
1.128205,-49.299515,-9.116281,-24.757565,0.223849,0.541625,-0.240297,0.999649,0.019722,0.009742,0.014752,0.189455,0.507150,0.000710,-0.001380,-0.000949,-0.000146,-0.001552,0.000947,0.000000,0.000000,0.000000,-49.928880,-9.995053,-25.006057,0.186630,0.013340,-0.016119,0.999983,0.001556,0.003112,0.004668,0.192673,0.507104,0.004999,-0.002999,0.002000,0.020114,-0.009999,0.015491,0.000000,0.000000,0.000000,0.002362,0.002498,0.002530,9.346503,9.270354,9.229696,0.506606,0.397319,0.192513,0.000060,0.000058,0.000025,0.000023,0.000023,0.002499,0.002498,0.002498,1.000000,1.000000,1.000000
1.179487,-49.228420,-9.037788,-24.838886,0.281157,0.622799,-0.298946,0.999618,0.021098,0.009137,0.015331,0.187223,0.510061,0.000826,-0.001729,-0.001060,-0.000372,-0.001787,0.001479,0.000000,0.000000,0.000000,-49.918881,-9.994336,-25.006922,0.203425,0.014629,-0.017625,0.999980,0.001696,0.003393,0.005089,0.192024,0.507790,0.004995,-0.003000,0.002001,0.020181,-0.009984,0.015494,0.000000,0.000000,0.000000,0.002328,0.002494,0.002532,9.380761,9.286032,9.243390,0.527252,0.399075,0.186993,0.000059,0.000057,0.000025,0.000023,0.000023,0.002499,0.002498,0.002498,1.000000,1.000000,1.000000
1.230769,-49.231054,-9.060063,-24.833898,0.285870,0.577109,-0.281302,0.999631,0.019974,0.009451,0.015785,0.186959,0.510486,0.000753,-0.001635,-0.000927,-0.000340,-0.001506,0.001314,0.000000,0.000000,0.000000,-49.908004,-9.993551,-25.007866,0.220871,0.015984,-0.019200,0.999976,0.001842,0.003684,0.005526,0.191352,0.508511,0.004992,-0.002998,0.002003,0.020125,-0.009873,0.015634,0.000000,0.000000,0.000000,0.002291,0.002488,0.002535,9.416943,9.300848,9.257043,0.548444,0.399935,0.181718,0.000059,0.000055,0.000025,0.000022,0.000023,0.002499,0.002497,0.002497,1.000000,1.000000,1.000000
1.282051,-49.259207,-9.096319,-24.801741,0.270965,0.526687,-0.244067,0.999639,0.018814,0.010165,0.016270,0.186956,0.510068,0.000657,-0.001423,-0.000789,-0.000207,-0.001188,0.000939,0.000000,0.000000,0.000000,-49.896217,-9.992695,-25.008892,0.238958,0.017405,-0.020842,0.999972,0.001993,0.003986,0.005978,0.190656,0.509265,0.004999,-0.002994,0.002004,0.020112,-0.009921,0.015660,0.000000,0.000000,0.000000,0.002273,0.002487,0.002538,9.459414,9.324212,9.274833,0.573555,0.411527,0.179378,0.000062,0.000058,0.000025,0.000022,0.000023,0.002499,0.002497,0.002497,1.000000,1.000000,1.000000
1.333333,-49.247659,-8.944633,-24.817572,0.253846,0.678951,-0.249939,0.999553,0.022050,0.011069,0.016895,0.183201,0.511258,0.000773,-0.001436,-0.001075,-0.000112,-0.001826,0.000985,0.000000,0.000000,0.000000,-49.883485,-9.991765,-25.010004,0.257674,0.018893,-0.022554,0.999968,0.002149,0.004298,0.006447,0.189938,0.510052,0.004995,-0.003002,0.001998,0.020095,-0.009865,0.015658,0.000000,0.000000,0.000000,0.002231,0.002481,0.002540,9.500290,9.338022,9.288719,0.596432,0.411583,0.174603,0.000061,0.000057,0.000025,0.000022,0.000023,0.002499,0.002496,0.002496,1.000000,1.000000,1.000000
1.384615,-49.208467,-8.957156,-24.853253,0.299419,0.648712,-0.272905,0.999568,0.021137,0.010704,0.017417,0.182782,0.512959,0.000749,-0.001533,-0.000965,-0.000261,-0.001569,0.001184,0.000000,0.000000,0.000000,-49.869778,-9.990756,-25.011206,0.277005,0.020450,-0.024333,0.999963,0.002310,0.004621,0.006931,0.189198,0.510874,0.004992,-0.003002,0.001995,0.020071,-0.009894,0.015676,0.000000,0.000000,0.000000,0.002186,0.002473,0.002543,9.543584,9.351002,9.302797,0.619929,0.411007,0.170232,0.000060,0.000055,0.000025,0.000022,0.000023,0.002499,0.002496,0.002496,1.000000,1.000000,1.000000
1.435897,-49.202539,-9.020025,-24.855718,0.319952,0.568944,-0.264557,0.999599,0.019150,0.010670,0.017932,0.183107,0.513532,0.000675,-0.001485,-0.000786,-0.000294,-0.001097,0.001081,0.000000,0.000000,0.000000,-49.855064,-9.989666,-25.012501,0.296939,0.022075,-0.026181,0.999957,0.002477,0.004954,0.007430,0.188437,0.511729,0.004990,-0.003001,0.001995,0.020216,-0.009893,0.015770,0.000000,0.000000,0.000000,0.002164,0.002472,0.002547,9.594703,9.374686,9.321415,0.647415,0.422109,0.168380,0.000064,0.000058,0.000024,0.000022,0.000023,0.002499,0.002496,0.002495,1.000000,1.000000,1.000000
1.487179,-49.313560,-8.832442,-24.763637,0.199290,0.753086,-0.196443,0.999458,0.023332,0.013794,0.018682,0.178094,0.511410,0.000720,-0.001080,-0.001116,0.000352,-0.001950,0.000127,0.000000,0.000000,0.000000,-49.839313,-9.988491,-25.013893,0.317463,0.023770,-0.028096,0.999951,0.002648,0.005296,0.007945,0.187655,0.512618,0.004986,-0.002997,0.001993,0.020160,-0.009859,0.015705,0.000000,0.000000,0.000000,0.002116,0.002463,0.002550,9.643409,9.386750,9.336116,0.672203,0.420779,0.164601,0.000063,0.000056,0.000024,0.000022,0.000023,0.002499,0.002495,0.002495,1.000000,1.000000,1.000000
