timestamp,roll_deg,pitch_deg,yaw_deg,x,y,z,vx,vy,vz,pbar_x,pbar_y,bgyr_x,bgyr_y,bgyr_z,bacc_x,bacc_y,bacc_z,bmag_x,bmag_y,bmag_z,P_dtheta_x,P_dtheta_y,P_dtheta_z,P_dpos_x,P_dpos_y,P_dpos_z,P_dvel_x,P_dvel_y,P_dvel_z,P_dpbar_x,P_dpbar_y,P_dbgyr_x,P_dbgyr_y,P_dbgyr_z,P_dbacc_x,P_dbacc_y,P_dbacc_z,P_dbmag_x,P_dbmag_y,P_dbmag_z
1768299701.140519,179.996810,-179.273275,178.702752,1000.000852,999.999661,1000.000580,0.000612,-0.000220,0.001219,0.000000,0.000000,-0.000039,-0.000077,-0.000015,0.000263,-0.000425,0.018544,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.190201,1.190201,1.190195,0.119571,0.119571,0.119559,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000047,1.000000,1.000000,1.000000
1768299701.145463,179.996792,-179.273408,178.703224,1000.000834,999.999740,1000.000613,0.000619,-0.000244,0.001207,0.000000,0.000000,-0.000040,-0.000077,-0.000015,0.000264,-0.000427,0.018532,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.192065,1.192065,1.192060,0.119572,0.119572,0.119561,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000047,1.000000,1.000000,1.000000
1768299701.153044,179.996789,-179.273361,178.703336,1000.000848,999.999757,1000.000615,0.000616,-0.000250,0.001208,0.000000,0.000000,-0.000040,-0.000077,-0.000015,0.000264,-0.000427,0.018534,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.193936,1.193936,1.193930,0.119574,0.119574,0.119562,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000047,1.000000,1.000000,1.000000
1768299701.155475,179.996801,-179.273137,178.703093,1000.000892,999.999712,1000.000619,0.000605,-0.000237,0.001209,0.000000,0.000000,-0.000040,-0.000076,-0.000015,0.000262,-0.000426,0.018535,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.195812,1.195812,1.195807,0.119575,0.119575,0.119564,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000047,1.000000,1.000000,1.000000
1768299701.162774,179.996804,-179.273089,178.703025,1000.000905,999.999698,1000.000588,0.000602,-0.000234,0.001226,0.000000,0.000000,-0.000039,-0.000076,-0.000015,0.000262,-0.000426,0.018551,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.197694,1.197694,1.197689,0.119577,0.119576,0.119565,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000047,1.000000,1.000000,1.000000
1768299701.165802,179.996792,-179.273041,178.703311,1000.000919,999.999745,1000.000557,0.000600,-0.000248,0.001243,0.000000,0.000000,-0.000040,-0.000075,-0.000015,0.000262,-0.000428,0.018568,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.199583,1.199583,1.199577,0.119578,0.119578,0.119566,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000047,1.000000,1.000000,1.000000
1768299701.170624,179.996780,-179.272994,178.703597,1000.000933,999.999793,1000.000525,0.000597,-0.000262,0.001260,0.000000,0.000000,-0.000040,-0.000075,-0.000015,0.000262,-0.000429,0.018585,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.201477,1.201477,1.201472,0.119579,0.119579,0.119568,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000046,1.000000,1.000000,1.000000
1768299701.178049,179.996800,-179.272948,178.703176,1000.000946,999.999716,1000.000529,0.000595,-0.000241,0.001260,0.000000,0.000000,-0.000039,-0.000075,-0.000015,0.000262,-0.000427,0.018586,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.203378,1.203378,1.203372,0.119581,0.119581,0.119569,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000046,1.000000,1.000000,1.000000
1768299701.180479,179.996811,-179.272902,178.702933,1000.000959,999.999671,1000.000533,0.000592,-0.000229,0.001261,0.000000,0.000000,-0.000039,-0.000075,-0.000015,0.000262,-0.000426,0.018587,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.205284,1.205284,1.205278,0.119582,0.119582,0.119571,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000046,1.000000,1.000000,1.000000
1768299701.187742,179.996779,-179.273034,178.703578,1000.000941,999.999783,1000.000533,0.000598,-0.000261,0.001264,0.000000,0.000000,-0.000040,-0.000075,-0.000015,0.000262,-0.000429,0.018590,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.207196,1.207196,1.207191,0.119584,0.119584,0.119572,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000046,1.000000,1.000000,1.000000
